dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_urban_rural_0.5_updated_r2_mean,poprisk_urban_rural_0.5_updated_r2_std,poprisk_urban_rural_0.5_delta_r2_mean,poprisk_urban_rural_0.5_delta_r2_se
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,100,2000,10.0,0.11,0.0,0.11,0.0,0.0,0.001999349894340658,0.09,0.07,-0.02,0.03742435837793348
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,200,2000,10.0,0.11,0.0,0.12,0.0,0.0,0.0016195678435928502,0.15,0.02,0.04,0.01007854156115854
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,300,2000,10.0,0.11,0.0,0.12,0.0,0.0,0.0019417517864031967,0.14,0.06,0.03,0.031074095320700813
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,400,2000,10.0,0.11,0.0,0.12,0.0,0.0,0.0022071248265560337,0.18,0.02,0.07,0.012251775381551845
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,500,2000,10.0,0.11,0.0,0.12,0.01,0.01,0.005576970503777116,0.17,0.03,0.06,0.015398519409345822
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,600,2000,10.0,0.11,0.0,0.13,0.01,0.02,0.0048057673684854954,0.18,0.04,0.06,0.018364460242544567
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,700,2000,10.0,0.11,0.0,0.13,0.01,0.02,0.004066693988979254,0.17,0.03,0.06,0.01528847278180525
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,800,2000,10.0,0.11,0.0,0.12,0.03,0.01,0.01525376674792164,0.17,0.07,0.05,0.03577527637908615
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,900,2000,10.0,0.11,0.0,0.14,0.01,0.03,0.006384559499292023,0.19,0.03,0.07,0.013318310703689112
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,1000,2000,10.0,0.11,0.0,0.14,0.01,0.03,0.006570205476238926,0.2,0.04,0.08,0.02226631087540098
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,2000,2000,10.0,0.11,0.0,0.12,0.05,0.01,0.026496158212088027,0.28,0.01,0.17,0.00609233945213167
