initial_set,num_urban,seed,size,r2
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_1.pkl,20,1,1000,0.2149403735644854
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_1213.pkl,20,1213,1000,0.21055501446608
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_123.pkl,20,123,1000,0.1661242224578534
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_1234.pkl,20,1234,1000,0.1709534184658199
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_1415.pkl,20,1415,1000,0.2036935313170192
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_42.pkl,20,42,1000,0.1934184638044636
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_456.pkl,20,456,1000,0.1906704527071233
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_5678.pkl,20,5678,1000,0.2102147161963687
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_789.pkl,20,789,1000,0.1237991524204875
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_9101.pkl,20,9101,1000,0.2046029068644362
IDS_top20_urban_100_points_probabilistic_100_size_seed_1.pkl,20,1,100,0.1695334423816122
IDS_top20_urban_100_points_probabilistic_100_size_seed_1213.pkl,20,1213,100,-0.4005680057243357
IDS_top20_urban_100_points_probabilistic_100_size_seed_123.pkl,20,123,100,0.0338346098579096
IDS_top20_urban_100_points_probabilistic_100_size_seed_1234.pkl,20,1234,100,-0.4089647675635008
IDS_top20_urban_100_points_probabilistic_100_size_seed_1415.pkl,20,1415,100,-0.1449286940621061
IDS_top20_urban_100_points_probabilistic_100_size_seed_42.pkl,20,42,100,-0.3813841385561809
IDS_top20_urban_100_points_probabilistic_100_size_seed_456.pkl,20,456,100,-0.0967202108428919
IDS_top20_urban_100_points_probabilistic_100_size_seed_5678.pkl,20,5678,100,-0.3300609716793528
IDS_top20_urban_100_points_probabilistic_100_size_seed_789.pkl,20,789,100,-0.4451193093326833
IDS_top20_urban_100_points_probabilistic_100_size_seed_9101.pkl,20,9101,100,-0.0030258528020072
IDS_top20_urban_200_points_probabilistic_200_size_seed_1.pkl,20,1,200,0.200191821162029
IDS_top20_urban_200_points_probabilistic_200_size_seed_1213.pkl,20,1213,200,0.016263467923721
IDS_top20_urban_200_points_probabilistic_200_size_seed_123.pkl,20,123,200,0.0433465495703946
IDS_top20_urban_200_points_probabilistic_200_size_seed_1234.pkl,20,1234,200,0.0461068410674
IDS_top20_urban_200_points_probabilistic_200_size_seed_1415.pkl,20,1415,200,0.0067890038308207
IDS_top20_urban_200_points_probabilistic_200_size_seed_42.pkl,20,42,200,0.1517489840956187
IDS_top20_urban_200_points_probabilistic_200_size_seed_456.pkl,20,456,200,0.0880231858809367
IDS_top20_urban_200_points_probabilistic_200_size_seed_5678.pkl,20,5678,200,-0.0070617785438997
IDS_top20_urban_200_points_probabilistic_200_size_seed_789.pkl,20,789,200,-0.1887206996945529
IDS_top20_urban_200_points_probabilistic_200_size_seed_9101.pkl,20,9101,200,-0.0131587882295682
IDS_top20_urban_300_points_probabilistic_300_size_seed_1.pkl,20,1,300,0.1772118475427632
IDS_top20_urban_300_points_probabilistic_300_size_seed_1213.pkl,20,1213,300,0.0215839935061814
IDS_top20_urban_300_points_probabilistic_300_size_seed_123.pkl,20,123,300,0.1300305566883896
IDS_top20_urban_300_points_probabilistic_300_size_seed_1234.pkl,20,1234,300,0.0740120515138885
IDS_top20_urban_300_points_probabilistic_300_size_seed_1415.pkl,20,1415,300,0.0243775352295727
IDS_top20_urban_300_points_probabilistic_300_size_seed_42.pkl,20,42,300,0.0403989823438212
IDS_top20_urban_300_points_probabilistic_300_size_seed_456.pkl,20,456,300,0.1000017388932644
IDS_top20_urban_300_points_probabilistic_300_size_seed_5678.pkl,20,5678,300,0.0474861018100402
IDS_top20_urban_300_points_probabilistic_300_size_seed_789.pkl,20,789,300,-0.1025518626502837
IDS_top20_urban_300_points_probabilistic_300_size_seed_9101.pkl,20,9101,300,0.1206877360118484
IDS_top20_urban_400_points_probabilistic_400_size_seed_1.pkl,20,1,400,0.160665411841761
IDS_top20_urban_400_points_probabilistic_400_size_seed_1213.pkl,20,1213,400,0.0857357516339317
IDS_top20_urban_400_points_probabilistic_400_size_seed_123.pkl,20,123,400,0.2077056359477954
IDS_top20_urban_400_points_probabilistic_400_size_seed_1234.pkl,20,1234,400,0.0331225735131198
IDS_top20_urban_400_points_probabilistic_400_size_seed_1415.pkl,20,1415,400,-0.0052934348884938
IDS_top20_urban_400_points_probabilistic_400_size_seed_42.pkl,20,42,400,-0.0084386687166189
IDS_top20_urban_400_points_probabilistic_400_size_seed_456.pkl,20,456,400,0.1864544866470646
IDS_top20_urban_400_points_probabilistic_400_size_seed_5678.pkl,20,5678,400,0.1138756573422279
IDS_top20_urban_400_points_probabilistic_400_size_seed_789.pkl,20,789,400,-0.0593541499132461
IDS_top20_urban_400_points_probabilistic_400_size_seed_9101.pkl,20,9101,400,0.1369040695709785
IDS_top20_urban_500_points_probabilistic_500_size_seed_1.pkl,20,1,500,0.1642523874743749
IDS_top20_urban_500_points_probabilistic_500_size_seed_1213.pkl,20,1213,500,0.1483479516179633
IDS_top20_urban_500_points_probabilistic_500_size_seed_123.pkl,20,123,500,0.1646359062580299
IDS_top20_urban_500_points_probabilistic_500_size_seed_1234.pkl,20,1234,500,0.150834154287309
IDS_top20_urban_500_points_probabilistic_500_size_seed_1415.pkl,20,1415,500,-0.0008004203303038
IDS_top20_urban_500_points_probabilistic_500_size_seed_42.pkl,20,42,500,0.0942355317010413
IDS_top20_urban_500_points_probabilistic_500_size_seed_456.pkl,20,456,500,0.1769691365368686
IDS_top20_urban_500_points_probabilistic_500_size_seed_5678.pkl,20,5678,500,0.1442384075357792
IDS_top20_urban_500_points_probabilistic_500_size_seed_789.pkl,20,789,500,0.0338366131162755
IDS_top20_urban_500_points_probabilistic_500_size_seed_9101.pkl,20,9101,500,0.1096157532616571
IDS_top20_urban_600_points_probabilistic_600_size_seed_1.pkl,20,1,600,0.1758619967599715
IDS_top20_urban_600_points_probabilistic_600_size_seed_1213.pkl,20,1213,600,0.2514843992824678
IDS_top20_urban_600_points_probabilistic_600_size_seed_123.pkl,20,123,600,0.2112423604887375
IDS_top20_urban_600_points_probabilistic_600_size_seed_1234.pkl,20,1234,600,0.1493322077332133
IDS_top20_urban_600_points_probabilistic_600_size_seed_1415.pkl,20,1415,600,0.1286106565888145
IDS_top20_urban_600_points_probabilistic_600_size_seed_42.pkl,20,42,600,0.055640627526864
IDS_top20_urban_600_points_probabilistic_600_size_seed_456.pkl,20,456,600,0.23439701493859
IDS_top20_urban_600_points_probabilistic_600_size_seed_5678.pkl,20,5678,600,0.146159410013775
IDS_top20_urban_600_points_probabilistic_600_size_seed_789.pkl,20,789,600,0.1019333947451307
IDS_top20_urban_600_points_probabilistic_600_size_seed_9101.pkl,20,9101,600,0.1160913097893064
IDS_top20_urban_700_points_probabilistic_700_size_seed_1.pkl,20,1,700,0.1523394025718012
IDS_top20_urban_700_points_probabilistic_700_size_seed_1213.pkl,20,1213,700,0.2379968749589567
IDS_top20_urban_700_points_probabilistic_700_size_seed_123.pkl,20,123,700,0.2127817321017161
IDS_top20_urban_700_points_probabilistic_700_size_seed_1234.pkl,20,1234,700,0.1595120955101663
IDS_top20_urban_700_points_probabilistic_700_size_seed_1415.pkl,20,1415,700,0.2209340377855745
IDS_top20_urban_700_points_probabilistic_700_size_seed_42.pkl,20,42,700,0.1088406760624253
IDS_top20_urban_700_points_probabilistic_700_size_seed_456.pkl,20,456,700,0.2397221926040503
IDS_top20_urban_700_points_probabilistic_700_size_seed_5678.pkl,20,5678,700,0.1563936210643315
IDS_top20_urban_700_points_probabilistic_700_size_seed_789.pkl,20,789,700,0.0111047571961704
IDS_top20_urban_700_points_probabilistic_700_size_seed_9101.pkl,20,9101,700,0.1488173018140753
IDS_top20_urban_800_points_probabilistic_800_size_seed_1.pkl,20,1,800,0.1344526874611564
IDS_top20_urban_800_points_probabilistic_800_size_seed_1213.pkl,20,1213,800,0.2809670245588364
IDS_top20_urban_800_points_probabilistic_800_size_seed_123.pkl,20,123,800,0.1574049535950304
IDS_top20_urban_800_points_probabilistic_800_size_seed_1234.pkl,20,1234,800,0.1658923237918206
IDS_top20_urban_800_points_probabilistic_800_size_seed_1415.pkl,20,1415,800,0.2158800003661932
IDS_top20_urban_800_points_probabilistic_800_size_seed_42.pkl,20,42,800,0.18720654588155
IDS_top20_urban_800_points_probabilistic_800_size_seed_456.pkl,20,456,800,0.1992225949996371
IDS_top20_urban_800_points_probabilistic_800_size_seed_5678.pkl,20,5678,800,0.1789640998458929
IDS_top20_urban_800_points_probabilistic_800_size_seed_789.pkl,20,789,800,0.09732574506864
IDS_top20_urban_800_points_probabilistic_800_size_seed_9101.pkl,20,9101,800,0.1497313493574653
IDS_top20_urban_900_points_probabilistic_900_size_seed_1.pkl,20,1,900,0.1934669400333826
IDS_top20_urban_900_points_probabilistic_900_size_seed_1213.pkl,20,1213,900,0.2066242765229575
IDS_top20_urban_900_points_probabilistic_900_size_seed_123.pkl,20,123,900,0.1687127386538792
IDS_top20_urban_900_points_probabilistic_900_size_seed_1234.pkl,20,1234,900,0.1912356532275583
IDS_top20_urban_900_points_probabilistic_900_size_seed_1415.pkl,20,1415,900,0.2260349491350726
IDS_top20_urban_900_points_probabilistic_900_size_seed_42.pkl,20,42,900,0.1650598436314846
IDS_top20_urban_900_points_probabilistic_900_size_seed_456.pkl,20,456,900,0.1973438114995459
IDS_top20_urban_900_points_probabilistic_900_size_seed_5678.pkl,20,5678,900,0.147782194095485
IDS_top20_urban_900_points_probabilistic_900_size_seed_789.pkl,20,789,900,0.1208014020046078
IDS_top20_urban_900_points_probabilistic_900_size_seed_9101.pkl,20,9101,900,0.1786025227548942
